node,lng,lat
9994899600,116.3019128,39.990144
9994899604,116.3017242,39.9900472
9994899605,116.3016764,39.9900461
9994899606,116.3024793,39.9899856
9994899607,116.3023867,39.9899938
9994899635,116.3018811,39.9906
9994899645,116.3016487,39.9907911
10005516618,116.303531,39.9900696
10060807309,116.3051528,39.9942714
10060807310,116.3048661,39.994353
10064455550,116.3090208,39.9917546
10064463382,116.3050748,39.990637
10064463384,116.3046526,39.9906159
10064463385,116.304647,39.9907449
10064463389,116.304354,39.9912987
10064463390,116.3046582,39.9905008
10064463395,116.3044718,39.9898858
10074828921,116.3029836,39.9912205
10074828922,116.3030357,39.9896433
10076153175,116.3044356,39.9853474
10076153191,116.3024047,39.9879062
10076153193,116.3028429,39.9879202
10076163271,116.3003839,39.9880782
10076201522,116.3045067,39.9880767
10076216712,116.3053048,39.9876515
10076216713,116.304918,39.9876322
10076218250,116.2996179,39.9901482
10076218251,116.2996154,39.9902503
10076218252,116.2996501,39.9897724
10076218253,116.2996246,39.9900702
10076218254,116.2989612,39.9900508
10076222599,116.3024317,39.9874869
10076453362,116.3017116,39.986039
10076453365,116.3071058,39.9928331
10076453367,116.3062133,39.9966581
10079971710,116.3044141,39.9906112
10079971711,116.3045366,39.9906147
10079971712,116.3043545,39.989959
10079971713,116.304344,39.9901422
10082171431,116.3017047,39.9861746
10082171432,116.3023781,39.9865026
10082171433,116.3021368,39.986494
10170410366,116.3042618,39.9880661
10170410368,116.3023923,39.9862773
10170410369,116.3021395,39.9862683
10170410371,116.2995867,39.9906649
10170410372,116.2995913,39.9905537
10170410373,116.2995752,39.9908082
10239690519,116.3051521,39.9876439
10239690521,116.3050491,39.987554
10239690523,116.3049205,39.9875975
10239690524,116.3050563,39.9874371
10239690526,116.3049111,39.9877263
10239690527,116.3049588,39.9873048
10239690528,116.3049745,39.9871174
10696254781,116.2994322,39.9947381
10696254791,116.3047401,39.9957625
10696254792,116.306155,39.9959011
10696254794,116.3080229,39.9924243
10696254797,116.3078459,39.9918802
10696254799,116.3081654,39.9919906
10696254800,116.3089602,39.9887767
10696254801,116.3089951,39.9880698
10696254802,116.3082344,39.9880439
10696254803,116.3086159,39.9880569
10696276305,116.3083032,39.9872941
10696276306,116.3013641,39.9873827
10696276307,116.3013607,39.9874582
10709391582,116.304341,39.9914609
10709402504,116.3066544,39.9927329
10709405906,116.3061867,39.9924402
10709405907,116.3031062,39.9879286
10709405909,116.3035958,39.9877115
10709405942,116.3063453,39.9908614
10709405947,116.3063109,39.991479
10709405948,116.3064497,39.9908647
10709405951,116.306588,39.9910722
10711628060,116.2989433,39.9945271
10711628061,116.2994351,39.9945243
10711628063,116.3024483,39.995007
10711628066,116.3023758,39.9953588
10711628070,116.3054503,39.9958321
10711628071,116.3053954,39.996134
10711628072,116.3058188,39.9961794
10711628073,116.3053883,39.9961727
10711628074,116.3052529,39.9961571
10711628075,116.3055896,39.9953002
10711628076,116.3056154,39.9951564
10711628077,116.3054555,39.9951432
10711628080,116.3013742,39.9915984
10711628086,116.3015133,39.9915993
10711628090,116.3024263,39.991608
10711628091,116.3082328,39.993713
10711628094,116.3080195,39.9950761
10724793693,116.3032817,39.988269
10729924626,116.3094805,39.986768
